Unnamed: 0,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link,Scraped_On
0,"Data Scientist, Masters Degree (Machine Learning and Operations Research)",Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)",Not Provided,Not Provided,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/rc/clk?jk=664d97a5eb67e73b&bb=n5eZx6LO6ip-TBsjA4uBbzG2WbHrMI5tCGEOtjWR4pWWTKzQQG3okFkGF4S18MLmPPOaiU2GJJC8WreZvqffVrHTo1mbyQXxSGXjuXwT48N-8FKggiOGcA%3D%3D&xkcb=SoDZ67M3-F9spXyD1Z0LbzkdCdPP&fccid=2da0dedf6df97194&vjs=3,2024-07-13
1,Experienced Data Scientist (Machine Learning and Operations Research),Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)","$105,000 - $150,000 a year",Full-time,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/rc/clk?jk=d9db9133607c48c9&bb=n5eZx6LO6ip-TBsjA4uBbzx3VZ71COcC2jBx6ak7_HfyhQM5rYx5G_O7xizSGqlI5wEwmj3uu_TRsFGJMvcFhZ49griNpMDunxKyMaECltjkYirhlvFW-Q%3D%3D&xkcb=SoBt67M3-F9spXyD1Z0KbzkdCdPP&fccid=2da0dedf6df97194&vjs=3,2024-07-13
2,Technology Strategy & Advisory Consultant or Manager - Infrastructure Optimization and Modernization,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,We are Technology Strategy and Advisory and we design and execute industry-relevant reinventions that allow organizations to realize exceptional business valueâ€¦,https://www.indeed.com/rc/clk?jk=39647b82a28b0a90&bb=n5eZx6LO6ip-TBsjA4uBb9nk_RiMbylAwZanBUI7PXd69YkAzZygKViSjpF9w3wSPSAl01IUsnU2mY12dm9d5Hjc8GdGXW2NiE2BAnNxaqLRk9dxJ5m01w%3D%3D&xkcb=SoDw67M3-F9spXyD1Z0JbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3,2024-07-13
3,Assistant Vice President/Vice President of Advanced Analytics,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,Spearhead data science initiatives incorporating artificial intelligence and machine learning to optimize business processes and product offerings.,https://www.indeed.com/rc/clk?jk=7b816420a261a30b&bb=n5eZx6LO6ip-TBsjA4uBb06pzmpFjdN389Mx_RDVEiK0iCO8OshdoLyrJZMSLt9iWCTtg4eweL0jBo3wk4sRwo53eST1CcTVcHvv8M9BRn3aa5HczQyd8w%3D%3D&xkcb=SoBE67M3-F9spXyD1Z0IbzkdCdPP&fccid=11e7471668f88afd&vjs=3,2024-07-13
4,Summer Teacher,VineyardAppCamp,"Cincinnati, OH",Not Provided,Not Provided,"In this role, you will provide knowledge and instruction to eager students.
Previous classroom experience or camp counselor experience is a big plus.",https://www.indeed.com/rc/clk?jk=b4ff80798b21ee03&bb=n5eZx6LO6ip-TBsjA4uBb7zMmpvxjIcxfZsybDkVNuLIDNfBEFrEGieU7jryvNq0jYfMa-zZaw79cPWzghZ1lm7GPkrbmwABRO3iisSXb1--kLJsqMtvSOv3nmul1MTB&xkcb=SoDK67M3-F9spXyD1Z0PbzkdCdPP&fccid=0910db562570d0a7&cmp=VineyardAppCamp&ti=Teacher&vjs=3,2024-07-13
5,Post-Doc AI,Procter & Gamble,"Mason, OH 45040","$128,000 a year",Full-time,"We will a) segment micro-actions / sub-activities, b) determine effort required during specific tasks, c) assess time taken to complete a certain task, e.g.â€¦",https://www.indeed.com/rc/clk?jk=da11d3c6e2430bb5&bb=n5eZx6LO6ip-TBsjA4uBb_wQEVvEWn4CN0lwex9hXMlImAI9IAJEXcZ00vzjXCKkLlnQzauyu3VeQFHPVg_k-MBD2JbHLY6D83FWSTciEb-OsS__6kl5uA%3D%3D&xkcb=SoB-67M3-F9spXyD1Z0ObzkdCdPP&fccid=2da0dedf6df97194&vjs=3,2024-07-13
6,"Chief of Staff - Director, Strategy & Data Advanced Analytics (P2494)",84.51Â°,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Champion AI Integration: Spearhead the development and implementation of the enterprise-wide artificial intelligence (AI) strategy, maximizing the value ofâ€¦",https://www.indeed.com/rc/clk?jk=65f7496c59272ce0&bb=n5eZx6LO6ip-TBsjA4uBb2bF2okDlW3Y6U1qcrupB0LnToj5CRFUEOfGCKymi-at9QtQH-XHTo_J4Ef9oWPLcWYWsNhiE7bicW9gEnUVQJNTPE3A_Cw0ZyPad7o9lIfE&xkcb=SoDj67M3-F9spXyD1Z0NbzkdCdPP&fccid=d1ae41cea4bc9f6e&vjs=3,2024-07-13
7,Senior Director Service Solutions Strategy,Johnson & Johnson,"Cincinnati, OH","$163,000 - $282,000 a year",Not Provided,"The Senior Director, Service Solutions Strategy, Surgery, will lead the development and execution of customer-first strategies and global governance of serviceâ€¦",https://www.indeed.com/rc/clk?jk=934ffb2b48bbe44f&bb=n5eZx6LO6ip-TBsjA4uBb2tyF71RjgmtgA6MYACXRpoJYuFG783Rvca7yDE3vE_oCkVy-LmR4ILp47LlhjcBJl6zzzpfe7JttwVKB6cZsKCTkWBUZa1KoJMIwBxqqW_z&xkcb=SoBX67M3-F9spXyD1Z0MbzkdCdPP&fccid=0bed8e17bc113980&vjs=3,2024-07-13
8,Senior Data Scientist,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,1-2 years direct experience applying machine learning to pharmaceutical or clinical data (or translatable artificial intelligence [ai] techniques);,https://www.indeed.com/rc/clk?jk=f37fabaa32bba8d2&bb=n5eZx6LO6ip-TBsjA4uBbwTAlGyN6t58NFRbhpvmXjocSwpZWfpm7SBgJ_8W6SAqcdCUN3gDI2Y2kHcMgut69GH_dfEY3LkHt0q_-FE2ydj6IhZa12wQdiv9JjVc_P39&xkcb=SoC-67M3-F9spXyD1Z0DbzkdCdPP&fccid=dc86b41d5cdf3527&vjs=3,2024-07-13
9,Senior Model Validator,U.S. Bank National Association,"Cincinnati, OH 45202 (Mount Adams area)","$116,280 - $150,480 a year",Full-time,This position is an individual contributor role residing within the Bankâ€™s Second Line of Defense Risk Management and Compliance organization.,https://www.indeed.com/rc/clk?jk=dc28d6255d539066&bb=n5eZx6LO6ip-TBsjA4uBb4l_WeD6kiKUDxiqte4tRAxeTdSaZs00QKSSSGiXTaHC0IGaz5Qg3w9R-rA05ruFZ0ErWFxIhKURVYPUCtSgwOmTTurPIUza_A%3D%3D&xkcb=SoAK67M3-F9spXyD1Z0CbzkdCdPP&fccid=ae5bfc395c530fbc&vjs=3,2024-07-13
